pulse_id,alice_x,alice_p,bob_measured_quadrature,alice_value_for_bob_basis,bob_value,used_for_parameter_estimation
0,0.6094341595088627,-0.903901959707017,X,0.6094341595088627,-2.315105067702726,False
1,-2.079968212480991,-1.3317554222408727,X,-2.079968212480991,-2.1343121604505857,False
2,1.5009023916129145,0.8680196469002139,X,1.5009023916129145,0.5745518907282836,False
3,1.8811294327824277,0.5037088305900103,X,1.8811294327824277,1.6684532011106112,False
4,-3.902070377307673,-2.809583095220655,X,-3.902070377307673,-2.570417624218054,False
5,-2.604359013724636,2.245356509127477,P,2.245356509127477,3.828120290543886,False
6,0.25568080633457074,-0.18838915070166662,X,0.25568080633457074,-0.5238613100707155,False
7,-0.6324851846871644,-2.221862190431441,P,-2.221862190431441,-0.141941546769482,False
8,-0.03360231500857759,2.377568228707748,X,-0.03360231500857759,0.17356308551522384,False
9,-1.70608785514716,1.251351143192308,P,1.251351143192308,0.5508231522409465,False
10,1.7587959497256571,-2.5290839838958283,P,-2.5290839838958283,-3.291194573422555,True
11,1.5555838708578966,3.5543656805154487,P,3.5543656805154487,1.7509045979449704,False
12,0.1320613951224321,1.3175947367323855,X,0.1320613951224321,0.536328090188894,False
13,2.2544824139360657,-0.020392231250092263,X,2.2544824139360657,2.217211865904954,False
14,0.9350186845040912,3.180437611243559,P,3.180437611243559,3.3227164893981147,False
15,-1.7185849257664765,0.31859556765928115,P,0.31859556765928115,-0.42247808588673086,False
16,0.7375015681649977,-0.05616615020806396,X,0.7375015681649977,1.4422744919566863,False
17,-1.9177652016579978,-1.320600232043978,P,-1.320600232043978,-1.605545378977443,False
18,1.756900602614545,1.1637008786141572,X,1.756900602614545,1.3490041139895061,False
19,-0.09985182197250579,0.9532059346479598,X,-0.09985182197250579,-0.6583027174183997,True
20,-0.3697247270905211,0.029360279779422575,X,-0.3697247270905211,-0.992105471196975,False
21,-1.3618590888078828,-1.579972707735206,P,-1.579972707735206,-0.5604143620710355,False
22,2.4450826773480605,0.2598597083321477,P,0.2598597083321477,1.3186575269708853,False
23,-0.3090589641376043,-0.13959757152427577,X,-0.3090589641376043,-0.6009037919973845,False
24,-0.8566556443262144,-2.666948637468402,P,-2.666948637468402,-3.220171889908388,False
25,-0.7042671009764592,-2.9436247026483713,P,-2.9436247026483713,-2.295252468792947,False
26,1.0646183711066974,1.130306757619539,X,1.0646183711066974,-0.05645552838122647,False
27,0.7308881287281567,-5.203776630103378,P,-5.203776630103378,-5.6922168749351725,True
28,0.8254652231919768,0.41082105392251994,P,0.41082105392251994,-0.5813874146040835,True
29,0.8616420060157655,-0.956166115507649,P,-0.956166115507649,-1.5078330387867633,True
30,4.2832952017409225,2.6164932137598202,X,4.2832952017409225,3.892367340247626,False
31,-0.8128300327692312,-0.9869364183077515,P,-0.9869364183077515,-1.5755212727269405,False
32,-1.0244854581430747,1.318968428503792,X,-1.0244854581430747,-2.4558974966988414,False
33,-1.6275454564957554,-0.7938276824755832,X,-1.6275454564957554,-3.004479652926113,False
34,1.2319588451509913,0.2274963069722869,P,0.2274963069722869,-1.4353165850620484,False
35,2.2579445854417832,1.4736730618401024,P,1.4736730618401024,0.8459789848416495,False
36,-0.22789491530975015,-0.9251114326491603,P,-0.9251114326491603,-0.9258392451839121,False
37,-1.680312953925056,1.993109768996808,P,1.993109768996808,0.11633005311222666,False
38,-1.648962431382479,-1.9873957542129663,P,-1.9873957542129663,-2.2240222336251696,False
39,1.3011855756494022,0.5891856851167582,P,0.5891856851167582,0.06406906029332748,True
40,1.4865083424068846,1.8452794455757056,X,1.4865083424068846,2.914243241194783,False
41,1.08630853661039,1.3200749835806698,P,1.3200749835806698,1.2199106846234622,False
42,-1.3310194145773886,3.8328897534708206,X,-1.3310194145773886,-1.502695995633193,False
43,0.46432264613343954,-1.526878634621321,X,0.46432264613343954,-0.5826552985104476,False
44,0.23337161828145644,-2.758298502697176,P,-2.758298502697176,-1.723550456842764,False
